# id	sub	bounty	ncom	ageH	tags	title
1482952	bitcoin	0	9	1.7	FRESH,HOT	What part of Bitcoin took you longest to understand?
1482875	bitcoin	0	21	3.8	HOT	Where should JoinMarket development focus next?
1482649	bitcoin	0	16	13.6	HOT	'Everyone Is Lying to You for Money' is almost a great bitcoin documentary
1482424	news	0	4	21.9	HOT	Toulouse first in Europe to allow Bitcoin for transit
1482369	meta	0	4	23.0	HOT	Presenting Stacker News ZINE of the week! check it out
1482910	bitcoin	0	7	2.6		PACTs: Protecting Your Bitcoin From a Quantum Sunset
1482904	bitcoin	0	1	2.8		nullc losing patience with luke-jr and knots rabble
1482677	bitcoin	0	0	12.1		BOLT12 Pay now supports native clearnet exposure on StartOS (no tunnel needed)
1482733	bitcoin	0	0	9.4		Why funding open source is NOT philanthropy with Pavlenex
1482700	bitcoin	0	1	10.7		January 15th, 2011 - Barcamp San Diego - "Bitcoin Q&A"
1482505	bitcoin	0	1	19.4		This is how public/private key cryptography works in Bitcoin
1482387	meta	0	2	22.7		The DOJ's Developer Exemptions | SNL #222
1482364	AI	0	4	23.3		Open Agents
1482726	meta	0	0	9.7		This Day on SN: May 2
1482387	meta	0	2	22.7		The DOJ's Developer Exemptions | SNL #222
1482734	AI	0	3	9.4		AMD Ryzen AI Halo Box: Mini PC with 128 GB of shared memory
1482656	tech	0	2	13.3		All Ages Have Cut Back On Scrolling
1482596	tech	0	0	16.8		Robotaxi Services Put the 'Auto' in Autonomous
1482360	tech	0	1	23.5		Pilgrim — an iOS walking app with no third-party trackers
