# id	sub	bounty	ncom	ageH	tags	title
1482649	bitcoin	0	15	10.4	HOT	'Everyone Is Lying to You for Money' is almost a great bitcoin documentary
1482284	bitcoin	0	2	23.0	HOT	CoinJoin Probing Attack: Analysis and Countermeasures
1482424	news	0	4	18.7	HOT	Toulouse first in Europe to allow Bitcoin for transit
1482369	meta	0	4	19.9	HOT	Presenting Stacker News ZINE of the week! check it out
1482733	bitcoin	0	0	6.2		Why funding open source is NOT philanthropy with Pavlenex
1482700	bitcoin	0	1	7.5		January 15th, 2011 - Barcamp San Diego - "Bitcoin Q&A"
1482505	bitcoin	0	1	16.2		This is how public/private key cryptography works in Bitcoin
1482302	news	0	2	22.4		Payments Adoption Weekly Brief 2026/18
1482387	meta	0	2	19.5		The DOJ's Developer Exemptions | SNL #222
1482364	AI	0	4	20.1		Open Agents
1482726	meta	0	0	6.5		This Day on SN: May 2
1482387	meta	0	2	19.5		The DOJ's Developer Exemptions | SNL #222
1482656	tech	0	2	10.1		All Ages Have Cut Back On Scrolling
1482596	tech	0	0	13.7		Robotaxi Services Put the 'Auto' in Autonomous
1482360	tech	0	1	20.3		Pilgrim — an iOS walking app with no third-party trackers
